candidate_id,final_score,fit_score,core_ml_fit,nice_to_have_fit,seniority_experience_fit,location_logistics_fit,notice_period_fit,disqualifier_multiplier,availability_multiplier,honeypot_flag,in_top_100
CAND_0000031,0.444285,0.551907,0.5697,0.0517,0.9458,0.9,0.75,0.7,1.15,False,True
CAND_0000038,0.208759,0.221825,0.1494,0.0819,0.5952,0.75,0.5,1.0,0.9411,False,True
CAND_0000044,0.200729,0.251603,0.1508,0.0819,0.7148,0.75,0.5,1.0,0.7978,False,True
CAND_0000048,0.198435,0.21357,0.0711,0.0819,0.7327,0.9,0.25,0.85,1.0931,False,True
CAND_0000014,0.189922,0.217056,0.1704,0.0,0.5388,0.9,0.5,0.85,1.0294,False,True
CAND_0000015,0.169727,0.206322,0.1209,0.1034,0.5731,0.75,0.5,0.85,0.9678,False,True
CAND_0000021,0.162612,0.210884,0.2843,0.0193,0.2725,0.75,0.75,1.0,0.7711,False,True
CAND_0000032,0.159071,0.23638,0.1521,0.1838,0.6298,0.9,0.25,0.85,0.7917,False,True
CAND_0000035,0.149001,0.179087,0.0975,0.1321,0.4094,0.9,0.75,1.0,0.832,False,True
CAND_0000026,0.135674,0.200297,0.0107,0.0287,0.6782,0.75,1.0,0.85,0.7969,False,True
CAND_0000039,0.128208,0.128067,0.0,0.0249,0.4429,0.75,1.0,1.0,1.0011,False,True
CAND_0000033,0.127429,0.144855,0.0,0.0093,0.4782,1.0,1.0,1.0,0.8797,False,True
CAND_0000002,0.125194,0.174759,0.0,0.0255,0.653,0.75,0.75,0.85,0.8428,False,True
CAND_0000030,0.124466,0.155059,0.0,0.0,0.5907,0.75,0.75,1.0,0.8027,False,True
CAND_0000046,0.122189,0.142961,0.0,0.0,0.569,0.35,1.0,1.0,0.8547,False,True
CAND_0000019,0.116769,0.149126,0.0,0.0,0.5681,0.75,0.75,0.85,0.9212,False,True
CAND_0000007,0.114846,0.132166,0.0,0.0159,0.4439,0.9,1.0,0.85,1.0223,False,True
CAND_0000011,0.114551,0.128694,0.0823,0.0,0.3538,0.9,0.5,1.0,0.8901,False,True
CAND_0000001,0.11194,0.205809,0.1839,0.179,0.5196,0.15,0.75,0.5,1.0878,False,True
CAND_0000020,0.107424,0.156839,0.0147,0.0,0.5307,0.75,1.0,0.85,0.8058,False,True
CAND_0000025,0.104324,0.117945,0.0711,0.0271,0.3803,0.75,0.25,0.85,1.0406,False,True
CAND_0000018,0.100726,0.145811,0.0711,0.0,0.5177,0.75,0.25,0.85,0.8127,False,True
CAND_0000010,0.09401,0.19302,0.2968,0.1034,0.4765,0.15,0.25,0.5,0.9741,False,True
CAND_0000016,0.091849,0.102396,0.0231,0.0,0.3317,0.9,0.75,1.0,0.897,False,True
CAND_0000042,0.091783,0.139293,0.0,0.0,0.5544,0.35,1.0,0.85,0.7752,False,True
CAND_0000045,0.088511,0.095419,0.0,0.0,0.3635,0.75,0.75,0.85,1.0913,False,True
CAND_0000005,0.082464,0.112144,0.0,0.0,0.3834,0.9,1.0,0.85,0.8651,False,True
CAND_0000006,0.080173,0.11646,0.016,0.0,0.5679,0.35,0.25,0.85,0.8099,False,True
CAND_0000041,0.076055,0.096471,0.0236,0.0049,0.3326,0.9,0.5,0.85,0.9275,False,True
CAND_0000023,0.072589,0.139998,0.0859,0.0,0.4351,0.15,1.0,0.5,1.037,False,True
CAND_0000036,0.069416,0.094894,0.0,0.0,0.3615,0.75,0.75,0.85,0.8606,False,True
CAND_0000043,0.065508,0.182505,0.1858,0.0954,0.4228,0.75,0.25,0.51,0.7038,False,True
CAND_0000029,0.062927,0.124959,0.0,0.0,0.4443,1.0,0.75,0.7,0.7194,False,True
CAND_0000040,0.062414,0.072625,0.0,0.0151,0.2904,0.75,0.5,1.0,0.8594,False,True
CAND_0000050,0.060606,0.080937,0.0,0.0146,0.3101,0.9,0.5,1.0,0.7488,False,True
CAND_0000034,0.059437,0.088335,0.024,0.0,0.3184,0.75,0.5,0.85,0.7916,False,True
CAND_0000027,0.058139,0.175049,0.0711,0.1846,0.4955,0.75,0.5,0.3,1.1071,False,True
CAND_0000004,0.053869,0.093815,0.0,0.0,0.4811,0.35,0.25,0.7,0.8203,False,True
CAND_0000024,0.051965,0.186979,0.0,0.018,0.7033,0.75,0.75,0.3,0.9264,False,True
CAND_0000017,0.0493,0.085093,0.0,0.0,0.3491,0.75,0.5,0.85,0.6816,False,True
CAND_0000012,0.04853,0.07014,0.0,0.0,0.2672,0.75,0.75,1.0,0.6919,False,True
CAND_0000022,0.040339,0.077649,0.0229,0.0,0.3894,0.15,0.25,0.5,1.039,False,True
CAND_0000013,0.038008,0.083967,0.0131,0.0284,0.3172,0.15,1.0,0.5,0.9053,False,True
CAND_0000049,0.033834,0.078876,0.0,0.022,0.4272,0.15,0.25,0.425,1.0093,False,True
CAND_0000009,0.032295,0.08841,0.0644,0.0,0.3731,0.15,0.25,0.425,0.8595,False,True
CAND_0000037,0.031871,0.092149,0.0129,0.0,0.3664,0.15,1.0,0.425,0.8138,False,True
CAND_0000008,0.017445,0.076899,0.0,0.0219,0.282,1.0,0.5,0.3,0.7562,False,True
CAND_0000047,0.011601,0.045756,0.0053,0.0,0.178,0.75,0.5,0.3,0.8451,False,True
CAND_0000028,0.009846,0.039409,0.0,0.0,0.1695,0.35,0.75,0.3,0.8328,False,True
CAND_0000003,0.004301,0.032949,0.0,0.0271,0.1695,0.15,0.25,0.15,0.8702,False,True
